,scholar_indx,name,grade,birth_date_place,death_date_place,birth_place,birth_date,birth_date_hijri,birth_date_gregorian,death_date_hijri,death_date_gregorian,death_place,death_reason,Father,Mother,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,sibling1,siblings2,siblings3,siblings4,siblings5,siblings6,siblings7,siblings8,siblings9,siblings10,siblings11,placeStay1,placeStay2,placeStay3,placeStay4,placeStay5,teachers1,teachers2,teachers3,teachers4,teachers5,teachers6,teachers7,teachers8,teachers9,teachers10,teachers11,teachers12,teachers13,teachers14,teachers15,teachers16,teachers17,teachers18,teachers19,teachers20,teachers21,teachers22,teachers23,teachers24,students1,students2,students3,students4,students5,students6,students7,students8,students9,students10,students11,students12,students13,students14,students15,students16,students17,students18,students19,students20,students21,students22,students23,students24,area_of_interest1,area_of_interest2,area_of_interest3,area_of_interest4,area_of_interest5,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,book1,book2,book3,book4,book5,book6,book7,book8,tbook9,book10,book11,book12,book13,tbook14,book15,book16
1519,1914,Mirba' bin Qayzi ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Qayzi bin 'Amr,,'Amira bint Zuhayr bin Rafi' [1962],,,,,,,,,,,,Zayd bin Mirba' bin Qayzi [1991] , Murara bin Mirba' bin Qayzi [1992] , 'Abdur Rahman bin Mirba' bin Qayzi [1993] , 'Abdullah bin Mirba' bin Qayzi [1994],,,,,,,,,Aus bin Qayzi bin 'Amr [1981],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1520,1915,Tamim bin Ma'bad ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Ma'bad bin ('Abd) Sa'd [1819],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1521,1916,'Abdur Rahman bin Sahl ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sahl bin Zayd b. Ka'b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] , Sahl bin Abi Hathma [1822],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,,
1522,1917,Zayd bin Nuwayra bin al-Harith ,Comp.(RA),(Medina),38 AH/658 CE (Kufa)[ Killed(Nahrawan) ],Medina,[],,,38,658,"Kufa, Nahrawan",,Nuwayra bin al-Harith,,al-Nuwwar bint Qays bin al-Harith [1978],,,,,,,,,,,,Azib,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1523,1918,'Uqba bin Niyar ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Niyar b. Amr b. 'Ubayd,,,,,,,,,,,,,,'Umayr bin 'Uqba bin Niyar [1919],,,,,,,,,,,,Abu Burda bin Niyar [1820],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , Bali [Bali] , Quda'a [Quda'a] , Ally B.Haritha [Ally%20B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,
1524,1919,'Umayr bin 'Uqba bin Niyar ,Comp.(RA) [1st Generation],(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,'Uqba bin Niyar [1918],,,,,,,,,,,,,,Sa'id,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Sa'id, ,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , Bali [Bali] , Quda'a [Quda'a] , Ally B.Haritha [Ally%20B.Haritha],,,,,,,,,,,,,,,,,,,,,,
1525,1920,Muhaysa bin Mas'ud ,Comp.(RA) [1st Generation],(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Mas'ud b. Ka'b,Adam bint al-Jamuh bin Zayd [1077],Suhayma bint Aslam [1971] , Hind bint 'Amr bin al-Jamuh bin Zayd [1078],,,,,,,,,,,Sa'd bin Muhaysa bin Mas'ud [1923] , Haram, Dihiya, al-Rabi',,,,,,,,,Huwaysa bin Mas'ud [1921] , al-Ahwas bin Mas'ud [1922] , Salama bint Mas'ud bin Ka'b [1974],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Sa'd bin Muhaysa bin Mas'ud [1923] , Haram bin Sa'd bin Muhaysa [19802] , Bashayr bin al-Yasar al-Harithi al-Ansar [11810] , Muhammad bin Ziyad [11216] , Muhammad bin Sahl bin Abi Hathama [12771],,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,,
1526,1921,Huwaysa bin Mas'ud ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Mas'ud b. Ka'b,Adam bint al-Jamuh bin Zayd [1077],,,,,,,,,,,,,,,,,,,,,,,,,Muhaysa bin Mas'ud [1920] , al-Ahwas bin Mas'ud [1922] , Salama bint Mas'ud bin Ka'b [1974],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,,
1527,1922,al-Ahwas bin Mas'ud ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Mas'ud b. Ka'b,Adam bint al-Jamuh bin Zayd [1077],,,,,,,,,,,,,,,,,,,,,,,,,Muhaysa bin Mas'ud [1920] , Huwaysa bin Mas'ud [1921] , Salama bint Mas'ud bin Ka'b [1974],,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud] , Khandaq [Khandaq],,,,,,,,,,,,,,,,,,,,,,
1528,1923,Sa'd bin Muhaysa bin Mas'ud ,Comp.(RA) [1st Generation],(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Muhaysa bin Mas'ud [1920],Suhayma bint Aslam [1971],,,,,,,,,,,,,Haram bin Sa'd bin Muhaysa [19802],,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] , Muhaysa bin Mas'ud [1920],,,,,,,,,,,,,,,,,,,,,,,Haram bin Sa'd bin Muhaysa [19802],,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,,
1529,1924,Suwayd bin al-Nu'man ,Comp.(RA) [1st Generation],(Medina),14 AH/636 CE (Iran)[ Martyred(Qadsia) ],Medina,[],,,14,636,"Iran, Qadsia",Martyred,al-Nu'man b. Malik,,'Amira bint Murshida bin Jabir [1956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,Bashayr bin al-Yasar al-Harithi al-Ansar [11810],,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud] , Khandaq [Khandaq] , Ridwan [Ridwan],,,,,,,,,,,,,,,,,,,,,
1530,1925,Azib bin al-Harith ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,al-Harith b. 'Ady b. Jushum,A woman from B.Sulaym b.Mansur,Umm Habiba bint Abi Habiba/Umm Khalid bint Thabit,,,,,,,,,,,,al-Bara' bin Azib bin al-Harith [400] , 'Ubaid bin Azib bin al-Harith [401] , Umm 'Abdullah bint 'Azib [1979],,,,,,,,,,Qays bin al-Harith [1926],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,,
1531,1926,Qays bin al-Harith ,Comp.(RA),(Medina),12 AH/634 CE (Hijaz)[ Martyred(Yamama) ],Medina,[],,,12,634,"Hijaz, Yamama",Martyred,al-Harith b. 'Ady b. Jushum,,,,,,,,,,,,,,al-Nuwwar bint Qays bin al-Harith [1978],,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1532,1927,'Ubaid al-Sahham bin Sulaym ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sulaym b. Duba' b. 'Amir,Su'ad bint 'Amir,Jamila bint Sinan [1968],,,,,,,,,,,,Thabit,,,,,,,,,,,,Umm 'Amir bint Sulaym [1967],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Khaybar [Khaybar],,,,,,,,,,,,,,,,,,,,,,,
1533,1928,Sinan b. Tha'laba ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Tha'laba b. 'Amir b. Majda'a,,,,,,,,,,,,,,Jamila bint Sinan [1968],,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1534,1929,Anas bin Duba' bin 'Amir ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Duba' bin 'Amir b. Majda'a,,,,,,,,,,,,,,,,,,,,,,,,,,Sulaym,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1535,1930,Khaythama b. al-Harith ,Comp.(RA),(Medina),"3 AH/625 CE (Hijaz, Uhud)[ Martyred(Uhud) ]",Medina,[],,,3,625,"Hijaz, Uhud, Uhud",Martyred,al-Harith b. Malik b. Ka'b,,Hind bint Aws bin 'Adi [1782],,,,,,,,,,,,Sa'd bin Khaythama [1745] , Sa'di,,,,,,,,,,,Qudama, 'Urfaja,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Ghanm B.al-Salm [B.Ghanm%20B.al-Salm] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1536,1931,'Abdullah bin Sa'd bin Khaythama ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Sa'd bin Khaythama [1745],Habiba bint Abi 'Amir al-Rahib [1751],Umayma bint 'Abdullah bin 'Abdullah,,,,,,,,,,,,'Abdur Rahman,,,,,,,,,,,,Sa'di bint Khaythama,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Aws [Aws] , B.Ghanm B.al-Salm [B.Ghanm%20B.al-Salm] , Uhud [Uhud] , Ridwan [Ridwan],,,,,,,,,,,,,,,,,,,,,,
1537,1933,Abu Ma'qil bin Nahik bin Asaf ,Comp.(RA) [1st Generation],(Medina),10 AH/631 CE (Makkah)[ Natural ],Medina,[],,,10,631,Makkah,Natural,Nahik bin Asaf b. 'Adi,Salma bint Aslam [1973],Burayda bint Bishr bin al-Harith [674] , Umm Ma'qil al-Asadiyya [3185],,,,,,,,,,,'Abdullah, Ma'qil bin Abu Ma'qil [3130],,,,,,,,,,,'Abbad, 'Abdullah, Layla bint Nahik bin Asaf [1963],,,,,,,,,Makkah, Medina,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha] , Ally B.Asad [Ally%20B.Asad] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
1538,1934,Subay' bin Hatib b. Qays ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Hatib (b. al-Harith) b. Qays,,,,,,,,,,,,,,,,,,,,,,,,,,Kabsha bint Hatib b. Qays [1773],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.'Amr B.'Auf [B.'Amr%20B.'Auf] , B.Mu'awiya [B.Mu'awiya] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
1539,1935,Fadala bin 'Ubaid bin Naqid ,Comp.(RA) [1st Generation],(Medinah),"~53 AH/673 CE (Damascus, Syria)[ Natural ]",Medinah,[],,,53,673,"Damascus, Syria",Natural,'Ubaid bin Naqid/Nafid,'Amira bint Muhammad [1775],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina, Egypt, Syria, Damascus,,Muhammad (saw) [1] , 'Umar ibn al-Khattab [3] , Abu al-Darda [37],,,,,,,,,,,,,,,,,,,,,,Thmamh bin Shfy [10851] , Hnsh bin 'Abdullah [10905] , 'Abdur Rahman bin Mhyryz [19926] , 'Abdullah bin 'Amir [10882] , Salman bin Smyr [17028] , 'Abdullah bin Mahayraz [11253] , 'Ali bin Rabah bin Qasayr [10870] , 'Amr bin Malik al-Janbi al-Hamdani [19936] , ,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.'Amr B.'Auf [B.'Amr%20B.'Auf] , B.Jahjaba B.Kulfa [B.Jahjaba%20B.Kulfa] , Uhud [Uhud] , Khandaq [Khandaq] , Ridwan [Ridwan],,,,,,,,,,,,,,,,,,,,
1540,1936,Sa'id bin al-Mundhir bin Muhammad ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,al-Mundhir bin Muhammad [1735],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.'Amr B.'Auf [B.'Amr%20B.'Auf] , B.Jahjaba B.Kulfa [B.Jahjaba%20B.Kulfa],,,,,,,,,,,,,,,,,,,,,,,
1541,1937,Abu Layla ,Comp.(RA) [1st Generation],(Medinah),(Medina/Kufa)[ Natural ],Medinah,[],,,,,Medina/Kufa,Natural,,,,,,,,,,,,,,,'Abdur Rahman bin Abi Layla [11196],,,,,,,,,,,,,,,,,,,,,,,Medina, Kufa,,,,Muhammad (saw) [1] , ibn Umar [18],,,,,,,,,,,,,,,,,,,,,,,'Abdur Rahman bin Abi Layla [11196],,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.'Amr B.'Auf [B.'Amr%20B.'Auf] , B.Jahjaba B.Kulfa [B.Jahjaba%20B.Kulfa] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
1542,1938,'Atik b. Qays b. Haysha ,Comp.(RA),(Medinah),12 AH/634 CE (Hijaz)[ Martyred(Yamama) ],Medinah,[],,,12,634,"Hijaz, Yamama",Martyred,Qays b. Haysha b. al-Harith,,Jamila bint Sayfi bin 'Amr [1965],,,,,,,,,,,,Jabir bin 'Atik [1730] , Basheer bin 'Atik [1734] , al-Harith bin 'Atik [1939],,,,,,,,,,al-Harith bin Qays [1731],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.'Amr B.'Auf [B.'Amr%20B.'Auf] , B.Mu'awiya [B.Mu'awiya] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
1543,1939,al-Harith bin 'Atik ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,'Atik b. Qays b. Haysha [1938],Jamila bint Sayfi bin 'Amr [1965],,,,,,,,,,,,,,,,,,,,,,,,,Jabir bin 'Atik [1730] , Basheer bin 'Atik [1734],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.'Amr B.'Auf [B.'Amr%20B.'Auf] , B.Mu'awiya [B.Mu'awiya] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,
1544,1940,Habib bin Hubbasha bin Jwaybit ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Hubbasha bin Jwaybit b. 'Ubaid,Layla bint Sahba of B.'Ashja',,,,,,,,,,,,,'Umayr bin Habib bin Hubbasha [1941],,,,,,,,,,,,'Amira bint Hubbasha bin Jwaybit [1791] , 'Umara bint Hubbasha bin Jwaybit [1790],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Khutama [B.Khutama],,,,,,,,,,,,,,,,,,,,,,,,
1545,1941,'Umayr bin Habib bin Hubbasha ,Comp.(RA) [1st Generation],(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Habib bin Hubbasha bin Jwaybit [1940],"Umm 'Amara, Jamila bint 'Amr of B.Khutama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Khutama [B.Khutama] , Ridwan [Ridwan],,,,,,,,,,,,,,,,,,,,,,,
1546,1942,Aws bin Khalid ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,Khalid b. 'Ubiad b. Umayya,,Safiyya bint Ka'b bin Malik of Ghatafan,,,,,,,,,,,,'Amara bin Aws bin Khalid [412],,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Khutama [B.Khutama],,,,,,,,,,,,,,,,,,,,,,,,
1547,1943,'Umayr bin 'Adi bin Kharasha ,Comp.(RA),(Medinah),(Medinah)[ Natural ],Medinah,[],,,,,Medinah,Natural,'Adi bin Kharasha b. Umayya,,,,,,,,,,,,,,al-Harith,,,,,,,,,,,,al-Harith bin 'Adi bin Kharasha [1944],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran, Narrator,,,,Ansar [Ansar] , Aws [Aws] , B.Khutama [B.Khutama],,,,,,,,,,,,,,,,,,,,,,,,
1548,1944,al-Harith bin 'Adi bin Kharasha ,Comp.(RA),(Medinah),"3 AH/625 CE (Hijaz, Uhud)[ Martyred(Uhud) ]",Medinah,[],,,3,625,"Hijaz, Uhud, Uhud",Martyred,'Adi bin Kharasha b. Umayya,,,,,,,,,,,,,,,,,,,,,,,,,,'Umayr bin 'Adi bin Kharasha [1943],,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Khutama [B.Khutama] , Uhud [Uhud],,,,,,,,,,,,,,,,,,,,,,,
1549,1945,'Abdullah bin Yazid bin Zayd ,Comp.(RA) [1st Generation],(Medinah),~70 AH/ 692 CE (Kufa)[ Natural ],Medinah,[],,,70,692,Kufa,Natural,Yazid bin Zayd [1946],,,,,,,,,,,,,,Musa bin 'Abdullah [10832],,,,,,,,,,,,,,,,,,,,,,,Medina, Kufa,,,,Muhammad (saw) [1] , 'Umar ibn al-Khattab [3] , Abu Ayyub al-Ansari [33] , Abu Mas'ud al-Badri [402] , Qays ibn Sa'd ibn 'Ubadah [172] , Hudhayfah ibn al-Yaman [145] , Zayd ibn Thabit [49] , al-Bara' bin Azib bin al-Harith [400] , Others,,,,,,,,,,,,,,,,Musa bin 'Abdullah [10832] , Ady bin Thabit al-Ansari [11372] , Maharab bin Dithar [11389] , 'Amir al-Sha'bi [11052] , Abu Ishaq al-Sabay'ai' [11049] , Muhammad bin Ka'b bin Sulaym al-Qarzi [11221] , Ibn Sirin [11035] , Abu Ja'far al-Fra'a al-Kwfy [15664],,,,,,,,,,,,,,,,,Recitation/Quran, Narrator ,,,,Ansar [Ansar] , Aws [Aws] , B.Khutama [B.Khutama] , Child [Child] , Ridwan [Ridwan] , Jamal [Jamal] , Madni [Madni] , Kufi [Kufi],,,,,,,,,,,,,,,,,,,
1550,1946,Yazid bin Zayd ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,Zayd b. Hassan b. 'Amr,,,,,,,,,,,,,,'Abdullah bin Yazid bin Zayd [1945],,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Ansar [Ansar] , Aws [Aws] , B.Khutama [B.Khutama] , Uhud [Uhud] , Ridwan [Ridwan],,,,,,,,,,,,,,,,,,,,,,
1551,1950,Hind bint Mahmud bin Maslama ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,Mahmud ibn Maslama [1810],Ash-Shamus bint 'Amr bin Haram [1070],'Amr ibn Sa'd ibn Mua'dh [1847],,,,,,,,,,,,,,,,,,,,,,,,Umm Manzur bint Mahmud bin Maslama [1951] , Umm 'Amr bint Mahmud bin Maslama [1952],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1552,1951,Umm Manzur bint Mahmud bin Maslama ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,Mahmud ibn Maslama [1810],Ash-Shamus bint 'Amr bin Haram [1070],Labid bin 'Uqba [1832],,,,,,,,,,,,Mahmud bin Labid bin 'Uqba [1830] , Manzur bin Labid bin 'Uqba [1831] , Maymuna,,,,,,,,,,Hind bint Mahmud bin Maslama [1950] , Umm 'Amr bint Mahmud bin Maslama [1952],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1553,1952,Umm 'Amr bint Mahmud bin Maslama ,Comp.(RA),(Medinah),(Medina)[ Natural ],Medinah,[],,,,,Medina,Natural,Mahmud ibn Maslama [1810],Umama bint Bashr bin Waqash [1869],'Abdullah bin Muhammad Ibn Maslama [1826],,,,,,,,,,,,'Amr, Humayd,,,,,,,,,,,Umm Manzur bint Mahmud bin Maslama [1951] , Umm 'Amr bint Mahmud bin Maslama [1952],,,,,,,,,,Medinah,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1554,1953,Umm 'Abs bint Maslama ,Comp.(RA),(Medina),(Medina)[ Martyred ],Medina,[],,,,,Medina,Martyred,Maslama b. Salama b. Khalid,"Umm Sahm, Khulayda bint Abi 'Ubaid",Abu 'Abs bin Jabir [1817],,,,,,,,,,,,,,,,,,,,,,,,Muhammad Ibn Maslama [167] , Mahmud ibn Maslama [1810],,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
1555,1954,Layla bint Rafi' ,Comp.(RA),(Medina),(Medina)[ Natural ],Medina,[],,,,,Medina,Natural,Rafi' b. 'Amr b. 'Adi b. Majda'a,Umm al-Bara' bint Salama,Jabr b. 'Amr b. Jusham,,,,,,,,,,,,Abu 'Abs bin Jabir [1817],,,,,,,,,,,,,,,,,,,,,,,Medina,,,,,Muhammad (saw) [1] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recitation/Quran,,,,,Female [Female] , Ansar [Ansar] , Aws [Aws] , B.Haritha [B.Haritha],,,,,,,,,,,,,,,,,,,,,,,
